login,name,habit,location,time,animal
fpagdenik,Fabio Pagden,4,Pontal,10:19 AM,Horned rattlesnake
fbrosekeil,Frederique Broseke,2,Rokoy,12:22 AM,Ground monitor (unidentified)
wvanim,Woodman Van Hesteren,1,Sarapul,6:40 PM,"Squirrel, smith's bush"
fbickerstethin,Filippo Bickersteth,1,Demuk,1:57 AM,"Raven, white-necked"
aflohardio,Anna Flohard,1,Chadong,1:51 AM,Crowned eagle
gvarrenip,Gage Varren,2,Barabedang,1:17 PM,Malachite kingfisher
lpilipyakiq,Lavina Pilipyak,3,Pisões,11:08 PM,Pampa gray fox
jspellingir,Justinn Spelling,3,Logan Lake,1:18 AM,Collared peccary
ahallstoneis,Anjanette Hallstone,2,San Rafael,7:24 PM,Dusky gull
sstockleit,Shani Stockle,2,Tamel,9:36 AM,Yellow-crowned night heron
dwageriu,D'arcy Wager,1,Pameungpeuk,6:57 PM,Bottle-nose dolphin
zaughtoniv,Zena Aughton,1,Novyye Gorki,9:14 PM,"Lemur, ring-tailed"
kbosmaiw,Kati Bosma,1,Tanjung Kidul,5:52 PM,Reindeer
adarwenix,Ardys Darwen,4,San Miguel,1:26 AM,Blue duck
jnoddlesiy,Joellen Noddles,2,N'Djamena,12:04 PM,Blue crane
agaishsoniz,Alfred Gaishson,3,Aristóbulo del Valle,11:52 PM,Radiated tortoise
wabellsj0,Winni Abells,3,Sendafa,5:36 AM,Cape starling
scorderj1,Shea Corder,3,Delmas,2:05 AM,"Otter, north american river"
druddockj2,Devonna Ruddock,2,Dibba Al-Fujairah,2:57 PM,Ring-tailed gecko
acoppj3,Allayne Copp,1,Hernández,8:29 PM,"Mongoose, small indian"
iloransj4,Ivar Lorans,3,Surkhet,9:28 AM,"Moccasin, water"
echarkej5,Esme Charke,4,Xiangyun,2:38 AM,Springbok
ggagesj6,Gibbie Gages,2,Bongandanga,12:47 AM,"Rhinoceros, square-lipped"
cnoltej7,Callie Nolte,2,Campina Grande,3:07 PM,Crab-eating raccoon
evanyukovj8,Ella Vanyukov,1,Bolnisi,8:11 PM,White-bellied sea eagle
smctrusteyj9,Salem McTrustey,4,Suohe,11:16 AM,"Weaver, red-billed buffalo"
jantonognolija,Josy Antonognoli,2,Aigínio,8:10 AM,Black-backed jackal
gbuxtonjb,Granger Buxton,3,Lengkeng,12:12 AM,"Peacock, indian"
nantoschjc,Nixie Antosch,1,Kontagora,7:06 PM,Tammar wallaby
hsiblyjd,Horst Sibly,2,Kobylanka,5:10 PM,"Cow, scottish highland"
fleje,Fenelia Le Marquis,1,Atouguia,8:35 PM,Grey-footed squirrel
tdulantyjf,Talyah Dulanty,1,Liqiao,5:07 AM,Tokay gecko
khodgenjg,Kiah Hodgen,3,Kendal,9:08 AM,Northern elephant seal
ithewsjh,Issy Thews,3,Colonia Wanda,10:47 AM,"Partridge, coqui"
dhaithji,Dwayne Haith,4,Pinamalayan,1:11 PM,"Cliffchat, mocking"
ffleuryjj,Fayina Fleury,2,Xilian,4:07 PM,"Gull, pacific"
haldayjk,Herrick Alday,2,Nanxia,2:24 AM,"Dragon, ornate rock"
ayarrowjl,Andras Yarrow,2,Vạn Giã,7:58 AM,Puma
dlourensjm,Domeniga Lourens,2,Gobernador Ingeniero Valentín Virasoro,8:36 PM,"Armadillo, common long-nosed"
fwhitemanjn,Flora Whiteman,1,Stockholm,1:55 PM,Snowy egret
eelsonjo,Elene Elson,3,Nesebar,5:24 PM,Black rhinoceros
crainsdenjp,Chilton Rainsden,3,Huayuan,11:16 AM,Pine squirrel
jcoupejq,Jeff Coupe,1,Gaimán,8:07 PM,Tree porcupine
scainesjr,Sheff Caines,1,Wangunsari,11:32 PM,Swainson's francolin
npetracekjs,Noby Petracek,1,Muheza,5:52 PM,"Bear, american black"
vmelbournjt,Val Melbourn,2,Erling,1:08 PM,Ground legaan
kpopplestoneju,Kelley Popplestone,4,Monte Redondo,3:36 AM,Canada goose
alembckejv,Alicea Lembcke,2,Haodi,12:10 PM,"Lemur, lesser mouse"
bzavattierojw,Beryl Zavattiero,2,Energodar,9:34 AM,"Fox, blue"
adijx,Adore Di Franceschi,4,Huaping,10:42 PM,Green-winged macaw
jclarsonjy,Jsandye Clarson,2,Likhobory,12:01 AM,Feathertail glider
mrijkeseisjz,Meade Rijkeseis,4,Las Lomas,7:13 PM,Koala
dlanferek0,Damaris Lanfere,4,Ganyesa,2:55 AM,"Badger, honey"
mbleasdalek1,Martina Bleasdale,1,Tataouine,10:12 AM,Black-cheeked waxbill
agodsellk2,Alleen Godsell,1,Zagreb - Centar,7:42 AM,Old world fruit bat (unidentified)
tkeeblek3,Torrie Keeble,3,Medeiros Neto,7:47 PM,North American porcupine
gtrudgiank4,Gabriellia Trudgian,3,Hecheng,4:26 PM,Jaguarundi
aharrowellk5,Alina Harrowell,1,Companhia de Baixo,3:26 PM,Javanese cormorant
jcahanik6,Juliane Cahani,2,Dalong,2:49 PM,"Drongo, fork-tailed"
gcousenk7,Gabbi Cousen,3,Onzaga,11:26 AM,Cape wild cat
kcolviek8,Kattie Colvie,2,Kąty Wrocławskie,3:24 AM,Silver gull
pschusterk9,Prudi Schuster,2,Dijon,8:26 PM,"Beaver, american"
iwaythingka,Isador Waything,1,Chilecito,4:31 PM,Indian star tortoise
caleksankovkb,Charlton Aleksankov,3,Piekielnik,11:33 AM,"Spurfowl, yellow-necked"
rclelandkc,Rhett Cleland,2,Mulchén,9:17 AM,"Weaver, white-browed sparrow"
aedmandkd,Amaleta Edmand,1,Липково,5:53 AM,"Gecko, tokay"
aacombke,Aggy Acomb,2,Zhulin,1:17 AM,Roe deer
jixerkf,Josey Ixer,4,Ar Rawḑah,4:32 AM,Red brocket
ktripekg,Kort Tripe,3,Belozërskoye,7:16 PM,"Genet, small-spotted"
sinwoodkh,Starlin Inwood,4,Nevyts’ke,5:00 PM,White-throated toucan
lmanifieldki,Leonie Manifield,4,Dulce Nombre de Culmí,4:19 PM,Four-horned antelope
sglasscottkj,Stacee Glasscott,3,Krasica,11:48 PM,Numbat
ebrimicombekk,Esdras Brimicombe,1,Xuezhen,7:40 AM,"Dove, laughing"
dbowerkl,Donall Bower,1,Renyi,1:57 AM,Long-finned pilot whale
nstuckleykm,Noble Stuckley,2,Ōmuta,5:09 PM,Cape wild cat
gmattiazzokn,Glynis Mattiazzo,4,Gandu,6:36 AM,"Cat, african wild"
rkingstneko,Roth Kingstne,1,Apitong,1:05 PM,Rock dove
cpiegromekp,Chilton Piegrome,1,San José de Colinas,5:04 PM,"Vulture, king"
cholburnkq,Cristionna Holburn,2,Býšť,4:17 AM,"Armadillo, common long-nosed"
fpadsonkr,Friedrick Padson,1,Jiajiaying,9:39 PM,Black-crowned night heron
adyshartks,Aubrette Dyshart,4,Cimanggu,7:19 AM,White-bellied sea eagle
dslydekt,Darcie Slyde,4,Smyków,1:43 PM,"Waxbill, violet-eared"
dstoppardku,Dione Stoppard,2,Itaquaquecetuba,4:00 AM,"Kingfisher, malachite"
jguerrerukv,Jessika Guerreru,1,Bobrovka,7:52 PM,"Otter, brazilian"
edavidofkw,Eldridge Davidof,3,Shklo,10:22 PM,"Mongoose, small indian"
nprandonikx,Norah Prandoni,2,Nazca,9:23 PM,Collared lizard
agunnellky,Auroora Gunnell,3,Cagmanaba,2:48 PM,Puku
mpolglasekz,Morganica Polglase,1,Karanyowka,5:18 PM,"Squirrel, palm"
cebsworthl0,Casar Ebsworth,1,Bahay Pare,2:51 AM,"Wallaby, river"
evuittetl1,Ermanno Vuittet,1,Detchino,9:13 AM,"Buffalo, african"
cmctaguel2,Cacilia McTague,3,Maszewo Duże,10:35 AM,Superb starling
bboardsl3,Basil Boards,1,Qorovulbozor,3:20 AM,"Viper, egyptian"
cmckibbinl4,Christiana McKibbin,4,Suwaru,3:15 PM,"Sheep, american bighorn"
caringtonl5,Collie Arington,4,Dūst Moḩammad Khān,5:15 AM,"Elephant, asian"
mbennoel6,Mitzi Bennoe,1,Ikaalinen,2:22 AM,"Flicker, campo"
kferraol7,Kai Ferrao,3,Hanjiaji,3:18 AM,Magnificent frigate bird
vshewonl8,Valentine Shewon,2,Bromont,3:49 AM,"Armadillo, giant"
amalshingerl9,Aubrie Malshinger,3,Sukmoilang,3:00 AM,Yak
edibenla,Elissa Diben,3,Balindong,7:20 PM,African jacana
phabbijamlb,Perkin Habbijam,4,Tlogotunggal,3:08 PM,"Crow, pied"
lswordlc,Lory Sword,2,Beloostrov,1:56 AM,"Puma, south american"
mhedmanld,Maiga Hedman,2,Trzin,3:02 AM,Richardson's ground squirrel
cdeile,Cissiee Dei,2,Del Valle,9:54 AM,River wallaby
bcordeslf,Brittney Cordes,4,Paris 01,6:42 AM,"Starling, greater blue-eared"
kgiblettlg,Kennith Giblett,4,Hangbu,6:13 PM,"Toucan, white-throated"
esallinglh,Elwood Salling,1,Maicao,7:44 PM,"Dragon, frilled"
ctryli,Chuck Try,3,San Isidro,7:26 PM,"Flycatcher, tyrant"
hklimkowskilj,Hatty Klimkowski,2,Quintães,11:28 AM,Oribi
vbearelk,Vincents Beare,4,Puerto Mayor Otaño,10:45 AM,Buttermilk snake
xleemanll,Xylina Leeman,3,Matanza,2:35 AM,Roseat flamingo
tbeneslm,Tobe Benes,1,Malvinas Argentinas,7:43 PM,Green-winged macaw
nravenshawln,Ninnette Ravenshaw,1,Žirovnica,11:06 PM,Rufous-collared sparrow
lledramlo,Leodora Ledram,1,Rafael Perazza,6:44 PM,"Jackal, black-backed"
gwaszczyklp,Gaspard Waszczyk,1,Niort,10:50 PM,"Stork, greater adjutant"
sfearensidelq,Sargent Fearenside,1,Daleman,10:25 AM,"Wapiti, elk,"
jbarensenlr,Jase Barensen,1,Ibarreta,4:58 PM,"Cat, jungle"
espratleyls,Elspeth Spratley,2,Shaxi,12:34 PM,Kori bustard
zpaxfordelt,Zola Paxforde,1,Cochabamba,2:07 AM,Ring-tailed gecko
awadlylu,Anatol Wadly,2,Sidamukti,7:28 AM,"Cat, native"
rcawleylv,Raquel Cawley,1,Amparafaravola,8:37 AM,"Crake, african black"
tblakemanlw,Timmy Blakeman,1,Angoulême,7:52 AM,"Lion, south american sea"
dforryanlx,Dorisa Forryan,4,Miharu,3:19 PM,"Godwit, hudsonian"
jskippingly,Johnathon Skipping,3,Trail,3:28 PM,Vicuna
rdallinderlz,Rutherford Dallinder,3,El Progreso,3:49 AM,Common turkey
sashmolem0,Selestina Ashmole,3,Borås,3:00 AM,"Trumpeter, green-winged"
hbyrem1,Harli Byre,2,Mao,7:51 PM,American black bear
gfredianim2,Gabriela Frediani,4,Smārde,6:25 AM,Blue and gold macaw
eheazelm3,Elyn Heazel,4,Paccho,2:26 AM,Gray rhea
lanneym4,Lynnett Anney,1,Ajoyani,10:02 AM,Bottle-nose dolphin
ahairyesm5,Andros Hairyes,2,Bangbayang,8:07 PM,Rufous-collared sparrow
rrodenhurstm6,Rodrique Rodenhurst,3,Rzeczenica,6:17 PM,"Loris, slender"
uperksm7,Urbano Perks,2,Tranca,1:11 AM,Greater sage grouse
nsinneym8,Nicola Sinney,3,Ariquemes,3:52 AM,Cheetah
cmingauldm9,Cyrill Mingauld,3,Longguang,3:19 AM,Tropical buckeye butterfly
acordiema,Allyn Cordie,3,Bagé,6:37 AM,Andean goose
aeakleemb,Arlina Eaklee,4,Peruíbe,2:34 PM,"Flamingo, roseat"
zbaertmc,Zorana Baert,1,Huyunxiang,11:55 AM,Miner's cat
ldispencermd,Lonee Dispencer,2,Catanduva,9:06 PM,"Kangaroo, brush-tailed rat"
ekovacsme,Elana Kovacs,2,Mariscala,11:22 AM,"Mongoose, yellow"
fborermf,Farris Borer,1,Bacabal,12:00 PM,"Ferret, black-footed"
lwoodwingmg,Lisle Woodwing,4,Norfolk,6:51 PM,"Eagle, long-crested hawk"
hgerattmh,Hali Geratt,1,Beishan,6:22 PM,"Legaan, ground"
avanmi,Alisander Van Velde,3,Cipicung,11:22 PM,Common shelduck
kshovelbottommj,Kermie Shovelbottom,4,Tampekan,8:46 AM,Canadian tiger swallowtail butterfly
phalifaxmk,Polly Halifax,2,Kuroishi,2:29 PM,Golden eagle
cblofeldml,Court Blofeld,4,Matlang,9:11 PM,Malagasy ground boa
fwickersonmm,Fey Wickerson,2,Quillo,4:00 PM,"Roadrunner, greater"
mworhammn,Maximilianus Worham,4,Maştağa,8:34 PM,Galapagos dove
jrenoufmo,Julio Renouf,1,Athens,12:53 AM,"Dragon, frilled"
fkosmp,Fraser Kos,2,Longtian,10:07 AM,"Pelican, brown"
epanswickmq,Evonne Panswick,1,London,10:17 PM,Black bear
jmcnuttmr,Jessalyn McNutt,4,Baojia,8:51 AM,Desert spiny lizard
bniavesms,Barbie Niaves,4,Sūq al Khamīs,9:01 PM,White-necked stork
rpostillmt,Ringo Postill,3,Orly aérogare,12:12 PM,"Starling, cape"
sranglemu,Stanislas Rangle,3,Izyaslav,4:57 AM,Cottonmouth
msherrardmv,Myrah Sherrard,4,Kipit,11:28 AM,"Skink, african"
yclapisonmw,Yorgos Clapison,4,Luyang,5:04 AM,White rhinoceros
ncastagnerimx,Nevin Castagneri,3,Novi Travnik,10:36 PM,"Pigeon, wood"
fbrunskillmy,Fiona Brunskill,1,Charlotte,5:47 AM,"Bat, asian false vampire"
bmellymz,Blake Melly,3,Clondalkin,1:30 PM,"Brocket, red"
phryncewiczn0,Peyter Hryncewicz,4,Cipicung Timur,1:09 AM,"Teal, hottentot"
jdyshartn1,Jereme Dyshart,3,Fanrong,5:01 PM,"Elk, Wapiti"
lbaben2,Lindon Babe,3,Longuita,5:34 PM,Huron
atrottonn3,Adria Trotton,4,Goundam,3:22 PM,Sulfur-crested cockatoo
wjerroldn4,Wayne Jerrold,3,Shangani,6:57 AM,Southern ground hornbill
dbrandassin5,Didi Brandassi,3,Hwawŏn,2:36 PM,Red lava crab
amaddysonn6,Addy Maddyson,4,Tarhuna,3:46 PM,Cape white-eye
mstollenwerckn7,Mayer Stollenwerck,1,Yatunpu,5:38 PM,"Bandicoot, southern brown"
kdorbinn8,Keir Dorbin,3,Nanniu,11:46 AM,"Boubou, southern"
kcancottn9,Kellie Cancott,2,Norton,5:08 PM,"Hen, sage"
pwoolandna,Phillipp Wooland,2,Arcachon,1:45 AM,"Finch, common melba"
sskinnb,Stacee Skin,4,Străşeni,10:49 AM,Brown pelican
dhathwaync,Dory Hathway,3,Kongjiang,7:48 PM,"Genet, small-spotted"
gferronetnd,Gasparo Ferronet,2,Nazyvayevsk,11:00 PM,North American beaver
damsbergerne,Deva Amsberger,1,Maseru,3:55 PM,"Possum, pygmy"
mmayhownf,Mari Mayhow,3,Yoro,2:46 PM,Praying mantis (unidentified)
jexallng,Joletta Exall,4,Al Masallamiyya,2:24 AM,Magnificent frigate bird
tsimonnetnh,Tedie Simonnet,4,Nangkaruka,11:38 AM,Rock dove
tadanezni,Trever Adanez,2,Antipolo,12:11 AM,Ovenbird
hlombardonj,Huntley Lombardo,2,Sanchahe,12:45 PM,"Tortoise, radiated"
jhassernk,Jeremie Hasser,4,Géfyra,12:49 PM,Warthog
jeulernl,Joscelin Euler,4,Arvika,2:31 AM,"Pheasant, ring-necked"
snewlannm,Shayna Newlan,2,Aracruz,11:21 AM,Red kangaroo
wchadwicknn,Wilfred Chadwick,1,Liuzhuang,7:08 PM,"Gull, kelp"
ifargherno,Indira Fargher,1,Compiègne,1:21 AM,Barking gecko
ejollandsnp,Estella Jollands,2,Guadalupe,12:08 PM,"Macaw, green-winged"
bcoleridgenq,Brena Coleridge,3,Zwierzyniec,6:57 AM,"Stork, woolly-necked"
nfostennr,Netty Fosten,4,Qianpai,2:48 AM,"Loris, slender"
psellarsns,Pincas Sellars,1,Kalandagan,10:11 AM,Whip-tailed wallaby
msidlownt,Micah Sidlow,1,Rueil-Malmaison,2:50 AM,Cape wild cat
hchinnerynu,Herman Chinnery,4,Omīdcheh,11:16 PM,Woodchuck
frosnv,Felizio Ros,4,Nakovo,6:34 PM,"Alligator, american"
bcutmarenw,Barn Cutmare,3,Inari,4:21 AM,Red deer
jwhittiernx,Jessi Whittier,3,Akureyri,7:04 AM,Sloth bear
knurseyny,Kordula Nursey,2,Tangqian,8:49 PM,Mountain duck
mboldingnz,Molly Bolding,3,Morrelgonj,9:22 AM,"Owl, australian masked"
lmateikoo0,Laure Mateiko,1,Sampaloc,9:10 PM,Mexican beaded lizard
lsnellero1,Lyn Sneller,4,Sirre,1:32 PM,Arctic ground squirrel
sstandrino2,Sheena Standrin,3,Challas,7:12 AM,"Heron, yellow-crowned night"
lmacinerneyo3,Lorna MacInerney,4,Budapest,10:58 AM,"Seal, northern elephant"
eespositao4,Edyth Esposita,1,Kovářov,12:09 PM,Reindeer
epedleyo5,Emma Pedley,1,Sitiarjo,7:50 PM,"Drongo, fork-tailed"
keburneo6,Kirsten Eburne,2,Jawa,2:50 AM,Hudsonian godwit
vlaiteo7,Vin Laite,3,Airmadidi,4:58 PM,"Squirrel, antelope ground"
jsydeso8,Jerry Sydes,1,Pastores,12:48 AM,"Lemur, sportive"
fpearcho9,Frederica Pearch,1,Dordrecht,1:26 AM,Gray heron
eyurkovoa,Evie Yurkov,3,Xinshancun,11:54 PM,Thomson's gazelle
eolliffob,Ezri Olliff,4,Zhifang,8:52 AM,"Sunbird, lesser double-collared"
mmcnirlanoc,Mellie McNirlan,2,Mlanggeng,12:33 AM,Southern brown bandicoot
jcosensod,Janie Cosens,1,Minas,2:44 AM,"Crane, sarus"
rsidlowoe,Reggie Sidlow,1,Tunguang,9:28 PM,"Lizard, mexican beaded"
djagielloof,Dud Jagiello,3,Schieren,5:16 AM,"Lemur, grey mouse"
lpontenog,Letti Ponten,1,Cisasak,11:07 PM,"Bear, grizzly"
amumbrayoh,Aland Mumbray,1,Sindou,4:26 PM,"Swan, black"
msamueloi,Maude Samuel,2,Maciejowice,4:18 PM,Steller sea lion
jwakleyoj,Julia Wakley,2,Longjumeau,9:55 AM,"Eagle, pallas's fish"
vboundleyok,Vivyanne Boundley,4,Choloma,12:16 AM,White-fronted bee-eater
pwibberleyol,Parker Wibberley,1,Abhar,10:05 PM,Kaffir cat
rsheronom,Rosalia Sheron,4,Pukou,2:35 AM,"Screamer, crested"
ypindellon,Yurik Pindell,1,Jingguan,5:16 PM,Black-cheeked waxbill
adundridgeoo,Arlen Dundridge,4,Aizi,11:31 PM,Red-tailed cockatoo
hfeldmusop,Hamilton Feldmus,3,Lobatse,11:01 PM,"Hen, sage"
blynasoq,Bryana Lynas,4,Borzytuchom,11:58 PM,"Cobra, egyptian"
kperazzoor,Katinka Perazzo,2,Daytona Beach,9:55 PM,Long-tailed jaeger
hhussellos,Husain Hussell,4,Połajewo,2:58 PM,Brush-tailed rat kangaroo
ccarletot,Charin Carlet,2,Khārān,12:30 AM,"Kudu, greater"
pmcilhargaou,Padraic McIlharga,2,Göteborg,4:11 AM,"Hornbill, leadbeateri's ground"
cgrishinov,Celesta Grishin,2,Hội An,7:38 AM,Pied avocet
mjaksicow,Mollee Jaksic,3,Citeureup,10:05 PM,Galapagos mockingbird
kfebryox,Kirstyn Febry,4,Vila Fria,4:36 PM,Eurasian hoopoe
mesgateoy,Mehetabel Esgate,1,Huxi,8:19 AM,Ornate rock dragon
cpodmoreoz,Cathi Podmore,1,Zhouzhuang,7:43 AM,"Squirrel, golden-mantled ground"
apitcaithlyp0,Audre Pitcaithly,1,San Vicente,10:45 PM,"Owl, white-browed"
bkyntonp1,Beverlee Kynton,3,Nikol’sk,2:42 PM,Cattle egret
kdumphryp2,Kilian Dumphry,3,Kamionka Strumitowa,12:38 AM,"Fox, blue"
bseep3,Brock See,3,Ishim,3:31 PM,Spectacled caiman
lwressellp4,Leena Wressell,2,Marseille,8:36 PM,"Gull, kelp"
cgeerdtsp5,Cristionna Geerdts,3,Tomar,9:33 AM,Ferruginous hawk
dgwiltp6,Donella Gwilt,1,Alanga,12:43 PM,"Quoll, eastern"
ftuitep7,Ferdinande Tuite,3,Saint-Quentin,2:12 AM,Lava gull
lstonebanksp8,Lorenza Stonebanks,4,Sonsorol Village,9:29 PM,Tailless tenrec
jgrobp9,Jermaine Grob,4,Ystad,1:27 PM,"Monkey, red howler"
csummerlypa,Colline Summerly,2,Batangtoru,11:54 PM,Red-winged blackbird
kmaccheynepb,Kasey MacCheyne,4,Hantara,4:51 AM,Black-winged stilt
mcourtesepc,Mable Courtese,4,Iguape,6:28 AM,"Starling, greater blue-eared"
rarlidgepd,Rainer Arlidge,2,Weda,12:31 PM,River wallaby
gmatelyunaspe,Gaby Matelyunas,2,Antes,4:30 PM,"Woodpecker, downy"
rbrindleypf,Ransom Brindley,4,Tuymazy,7:39 PM,"Bird, magnificent frigate"
zswinglehurstpg,Zelma Swinglehurst,2,Diang,4:06 PM,"Lion, galapagos sea"
tpaolinoph,Tobias Paolino,2,Yingta,5:35 PM,Desert kangaroo rat
ckingabypi,Clare Kingaby,4,Daet,12:16 PM,"Deer, red"
rcattachpj,Raimondo Cattach,3,Cavadas,11:38 PM,"Egret, cattle"
clopepk,Calvin Lope,4,Rangxi,10:03 PM,"Hawk-eagle, crowned"
uquaifepl,Ulla Quaife,3,Baghlān,9:46 PM,Glossy ibis
mfillgatepm,Marlo Fillgate,3,Zagórnik,11:20 PM,Mule deer
hcorsspn,Hayward Corss,3,Revolucion,1:26 PM,"Armadillo, giant"
tharmerpo,Thekla Harmer,2,Daxi,5:22 PM,Madagascar fruit bat
pscogganspp,Patti Scoggans,1,L’govskiy,7:47 AM,White-lipped peccary
mwinkpq,Mahmoud Wink,2,Santa Cruz do Bispo,11:02 AM,Brolga crane
linglefieldpr,Leshia Inglefield,1,Korsze,1:57 AM,Tawny frogmouth
enixps,Ermanno Nix,2,Xixiang,4:36 PM,Green vine snake
blimbertpt,Binky Limbert,1,Dadapan,7:03 PM,Platypus
alionelpu,Arlen Lionel,1,Lahad Datu,1:08 AM,Horned puffin
mtipplepv,Mellisa Tipple,1,Arras,9:32 PM,Potoroo
livanchovpw,Laurent Ivanchov,4,Shilovo,5:42 AM,Golden-mantled ground squirrel
rcasarinopx,Roley Casarino,1,Cirumput,3:49 AM,"Dragonfly, russian"
afredepy,Adrianne Frede,3,Secang Barat,8:30 AM,Galapagos hawk
smcquadepz,Stearn McQuade,2,Yuanping,12:27 PM,"Wagtail, african pied"
aorsmanq0,Agosto Orsman,3,Kiarajangkung,12:44 PM,"Heron, yellow-crowned night"
stomasq1,Scarface Tomas,3,Jaú,10:43 PM,"Pelican, brown"
dshacklefordq2,Doralynn Shackleford,4,Lincheng,3:52 AM,Blackbuck
edeq3,Eddy de Mullett,2,Pangrumasan,9:37 PM,Gemsbok
kwinnettq4,Kali Winnett,4,Naas,7:40 AM,Blue waxbill
tmacpakeq5,Timoteo MacPake,2,Jemielno,1:59 PM,Woodrat (unidentified)
adunstoneq6,Alene Dunstone,1,Zolotonosha,2:51 PM,"Armadillo, common long-nosed"
jtrubshawq7,Jenny Trubshaw,1,Cordeiro,6:22 PM,Bottle-nose dolphin
fmcavaddyq8,Flemming McAvaddy,4,Visim,11:25 PM,"Snake, eastern indigo"
rmcinultyq9,Reina McInulty,2,Al Khafsah,6:58 AM,"Lion, asian"
edonneqa,Earlie Donne,4,Changshan,5:25 PM,"Bushbaby, large-eared"
seisakqb,Sadye Eisak,2,Felgueiras,11:30 AM,Kalahari scrub robin
akaleqc,Alisa Kale,1,Cha’anpu,8:51 AM,"Crow, house"
amaddickqd,Anny Maddick,1,Payabon,1:08 AM,"Weaver, red-billed buffalo"
jebbingsqe,Jocelin Ebbings,2,Coxim,11:44 PM,Emerald green tree boa
lwyldboreqf,Linette Wyldbore,1,Söderköping,5:01 AM,Cobra (unidentified)
cpaveyqg,Callean Pavey,2,Ke’erlun,6:06 PM,"Shrike, southern white-crowned"
vundrillqh,Vi Undrill,1,Niemodlin,1:11 PM,Dromedary camel
ooddeyqi,Odella Oddey,4,Dunkerque,2:54 PM,"Booby, blue-faced"
cbettesworthqj,Chevy Bettesworth,3,Pepe,10:04 AM,Blackish oystercatcher
jspillaneqk,Johny Spillane,3,Gaoqiao,1:58 AM,North American river otter
nbruckentalql,Neville Bruckental,4,Karangbayat,3:15 PM,Curve-billed thrasher
mfifieldqm,Mollie Fifield,3,Sattahip,7:01 AM,Striped hyena
cswatridgeqn,Cecilio Swatridge,4,Matai,10:23 AM,Cuis
kspicerqo,Kissiah Spicer,3,Cereté,8:41 PM,"Gull, herring"
nklaiserqp,Noni Klaiser,1,Stepnica,6:08 AM,Australian sea lion
jgyseqq,Jens Gyse,1,Gaopi,11:52 PM,"Shrike, crimson-breasted"
vlackeyqr,Valaree Lackey,4,Mombok,1:47 AM,"Drongo, fork-tailed"
cpitkaithlyqs,Clotilda Pitkaithly,4,Dongming,4:54 PM,"Zorro, common"
scauldfieldqt,Shane Cauldfield,3,Ngembel,3:07 AM,"Chickadee, black-capped"
ogauchequ,Osbourn Gauche,4,Naju,4:36 AM,American racer
tmorseqv,Tabbi Morse,2,Sukarama,6:31 PM,Western lowland gorilla
jfelthamqw,Josh Feltham,1,Foshan,9:26 PM,"Possum, common brushtail"
sklimukqx,Shannon Klimuk,2,Listowel,4:20 AM,"Goose, cereopsis"
spetrichatqy,Shir Petrichat,3,Amaigbo,4:18 PM,Platypus
bbrookerqz,Bryn Brooker,2,Soasio,6:50 PM,"Porcupine, indian"
sishamr0,Saunder Isham,3,Dębowiec,1:08 PM,"Kite, black"
cusherr1,Clarance Usher,4,Wangchang,12:27 AM,"Kingfisher, white-throated"
wpiggottr2,Waly Piggott,1,Niba,6:49 AM,Native cat
ader3,Allx De la Yglesia,4,Rezé,10:51 AM,Western patch-nosed snake
cwalkdenr4,Carolyne Walkden,4,Banfora,4:16 PM,"Dove, mourning collared"
npitkeathlyr5,Nichole Pitkeathly,4,Gorzyce,2:50 PM,Red-cheeked cordon bleu
tbarkhouser6,Theodore Barkhouse,2,Hrochův Týnec,1:06 AM,Gambel's quail
tnorkerr7,Tammy Norker,3,Gaoqiu,5:16 PM,"Legaan, water"
cgowanlockr8,Carly Gowanlock,1,Utrecht (stad),6:15 AM,"Anteater, giant"
bgonsalvor9,Brigit Gonsalvo,3,Dawuhan,9:12 AM,"Grebe, little"
ecianira,Emalee Ciani,2,Pancheng,3:17 PM,"Owl, burrowing"
mgainerb,Marcelo Gaine of England,4,Poncokusumo,7:35 AM,Savanna fox
lsandallrc,Lenette Sandall,3,Ojo de Agua,8:49 AM,"Gecko, tokay"
rblackadderrd,Rafaelita Blackadder,4,Torrance,7:41 AM,"Possum, ring-tailed"
hsheldrickre,Holly Sheldrick,1,Oliveirinha,2:29 PM,"Macaque, japanese"
clorainerf,Colline Loraine,2,Tomé,6:00 AM,Feral rock pigeon
mpeedellrg,Mellie Peedell,1,Bonao,8:02 AM,Serval
bcolecroughrh,Babs Colecrough,1,Lišov,6:46 PM,South American meadowlark (unidentified)
dcarncrossri,Derrick Carncross,3,Ma’ao,7:52 PM,"Mongoose, yellow"
mrizzottorj,Martita Rizzotto,2,Saint-Quentin-en-Yvelines,4:10 AM,Ornate rock dragon
iellamsrk,Ilysa Ellams,2,Svoge,1:21 AM,American badger
jtopperrl,Jennilee Topper,1,Jinniu,1:10 PM,Radiated tortoise
dogdenrm,Darwin Ogden,1,Aba,7:24 AM,Springbok
hbythewayrn,Harmonie Bytheway,2,Curumaní,2:21 AM,"Crow, house"
nallseppro,Nicolais Allsepp,4,Batangtoru,7:12 PM,"Cat, tiger"
tpinxtonrp,Travus Pinxton,4,Santo Amaro,9:49 PM,"Cat, miner's"
rjurgensonrq,Revkah Jurgenson,4,Bintuni,7:57 PM,African ground squirrel (unidentified)
ltomczakrr,Lombard Tomczak,1,Chon Daen,5:28 PM,Southern elephant seal
